Time_s,RR_ms,PQ_ms,QT_ms,PQ_smooth,QT_smooth
1.015127938160593,642.2433745583039,144.45595658758202,251.82187026754167,145.92003722867238,240.59725201918224
1.6612959141820476,646.1475896012115,146.40806410903585,251.82187026754167,146.19116327331875,241.19372931740423
2.291846537308724,630.530729429581,144.45595658758202,251.82187026754167,138.40442327107522,243.23259717314485
2.9184928222117055,626.6265143866734,146.40806410903585,249.86976274608782,141.97145610573173,244.72329746225506
3.5334260924436034,614.9138692579505,144.45595658758202,249.86976274608782,142.3411734393404,245.47752082281679
4.165928884682127,632.4828369510348,146.40806410903585,249.86976274608782,142.95433541723293,246.26587193725
4.771101309354788,605.1533316506815,,212.7797198384654,143.34046657532272,246.94160146390712
5.542208108534469,771.0824709742554,,206.923397274104,143.54497307757026,247.39709321891303
6.344549613503707,802.3161913175164,148.36017163048965,245.96554770318022,143.6751135790005,247.6573742217735
7.135178103801862,790.6035461887935,68.32376325088339,261.5824078748107,143.80525408043076,248.17793622749454
7.843815491402429,708.6150302877335,177.6417844522968,259.63030035335686,143.93539458186103,248.95877923607605
8.476318283640953,632.4828369510348,146.40806410903585,253.77397778899547,138.72977452465085,246.7463907117617
9.130294936109797,653.9560196870268,150.31227915194344,255.72608531044926,135.43288182175107,244.6641426888777
9.76279772834832,632.4828369510348,148.36017163048965,255.72608531044926,133.7844354703012,242.19147316170287
10.399204858810538,636.3870519939425,146.40806410903585,253.77397778899547,133.871195804588,244.7942831903079
11.057085849503077,657.8602347299344,146.40806410903585,255.72608531044926,133.97964622244658,245.31484519602893
11.722775516643004,665.6686648157496,148.36017163048965,259.63030035335686,134.10978672387682,245.4449856974592
12.376752169111848,653.9560196870268,146.40806410903585,263.5345153962645,139.835968786808,244.66414268887766
12.940929042435716,564.1590737001513,68.32376325088339,216.68393488137306,138.20921251892983,242.06133266027257
13.52267543776621,581.7280413932358,,218.63604240282686,138.59963402322057,242.3216136631331
14.096613156649314,573.9196113074205,,212.7797198384654,138.72977452465088,242.58189466599362
14.72716377977599,630.530729429581,148.36017163048965,251.82187026754167,138.8599150260811,242.71203516742386
15.21715822684966,489.97898788490664,,214.73182735991924,139.12019602894162,242.84217566885408
15.835995835305253,618.8180843008581,150.31227915194344,247.91765522463402,139.38047703180212,242.71203516742386
16.441168259977914,605.1533316506815,154.2164941948511,249.86976274608782,139.64075803466264,242.45175416456334
17.12247528001262,681.2855249873802,,220.58814992428066,139.90103903752313,241.80105165741207
18.014616564126836,892.1131373043917,152.2643866733973,257.67819283190306,145.3669400975938,244.40386168601717
18.84233626755009,827.693589096416,152.2643866733973,259.63030035335686,149.05425430478434,244.27372118458692
19.621251743177158,778.8909010600706,150.31227915194344,257.67819283190306,150.9629816590947,247.13681221605248
20.343554314560656,722.2797829379102,150.31227915194344,255.72608531044926,151.02805190980988,244.6641426888777
20.985817952358417,642.2433745583039,150.31227915194344,253.77397778899547,150.9629816590947,247.397093218913
21.622225082820634,636.3870519939425,152.2643866733973,255.72608531044926,150.96298165909474,248.3080767289248
22.233254014828837,611.0096542150429,150.31227915194344,253.77397778899547,150.57256015480397,248.95877923607605
22.857948130619974,624.6744068652196,150.31227915194344,255.72608531044926,150.37734940265858,251.56158926468112
23.45140754062155,593.4406865219586,,216.68393488137306,150.24720890122833,251.56158926468112
24.148331913551033,696.9023851590106,150.31227915194344,255.72608531044926,150.1170683997981,251.56158926468112
24.73593481621707,587.5843639575971,,214.73182735991924,150.11706839979806,251.56158926468112
25.473854740495348,737.8966431095406,148.36017163048965,255.72608531044926,149.9869278983678,251.82187026754164
26.289861429247516,815.9809439676931,150.31227915194344,261.5824078748107,149.9869278983678,252.08215127040214
27.039494368196877,749.6092882382636,148.36017163048965,259.63030035335686,149.72664689550732,252.34243227326263
27.802792490929168,763.2740408884401,150.31227915194344,259.63030035335686,149.7266468955073,252.4725727746929
28.527047231424515,724.231890459364,150.31227915194344,257.67819283190306,149.59650639407704,252.47257277469288
29.241541126360627,714.4713528520949,150.31227915194344,259.63030035335686,149.46636589264682,254.94524230186772
29.913087300836096,671.524987380111,150.31227915194344,257.67819283190306,149.33622539121654,254.94524230186775
30.60025082820634,687.1418475517415,148.36017163048965,259.63030035335686,149.27115514050143,257.8083333333333
31.260083988010727,659.8123422513881,150.31227915194344,257.67819283190306,149.2711551405014,258.1987548376241
31.89258678024925,632.4828369510348,148.36017163048965,259.63030035335686,149.2711551405014,257.8083333333333
32.51728089604038,624.6744068652196,150.31227915194344,255.72608531044926,142.89427057041897,255.72608531044926
33.128309828048586,611.0096542150429,148.36017163048965,255.72608531044926,139.64075803466264,258.19875483762405
33.72567357627386,597.3449015648662,148.36017163048965,253.77397778899547,139.6407580346626,258.3288953390543
34.3132764789399,587.5843639575971,148.36017163048965,255.72608531044926,139.38047703180212,258.1987548376241
34.92820974917179,614.9138692579505,148.36017163048965,257.67819283190306,139.25033653037184,256.11650681474003
35.57047338696955,642.2433745583039,148.36017163048965,261.5824078748107,139.38047703180212,255.98636631330976
36.21664136299101,646.1475896012115,150.31227915194344,255.72608531044926,139.25033653037184,255.8562258118795
36.790579081874114,573.9196113074205,52.7069030792529,228.3965800100959,139.38047703180212,255.46580430758877
37.42698621233633,636.3870519939425,,296.7203432609793,139.4238571989455,252.7328537775534
38.09658021769995,669.5728798586572,150.31227915194344,259.63030035335686,139.64075803466264,249.86976274608784
38.69784830414892,601.2491166077738,146.40806410903585,257.67819283190306,139.90103903752313,249.86976274608784
39.21517311878846,517.30849318526,,226.4444724886421,140.03117953895338,249.86976274608782
39.85743675658621,642.2433745583039,150.31227915194344,257.67819283190306,140.03117953895338,249.86976274608784
